,STNAME,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
0,Alabama,4801695,4817484,4833996,4849377
68,Alaska,722572,731081,737259,736732
98,Arizona,6472867,6556236,6634997,6731484
114,Arkansas,2938430,2949300,2958765,2966369
190,California,37701901,38062780,38431393,38802500
249,Colorado,5119661,5191709,5272086,5355866
314,Connecticut,3590537,3594362,3599341,3596677
323,Delaware,907829,916881,925240,935614
327,District of Columbia,620427,635040,649111,658893
329,Florida,19107900,19355257,19600311,19893297
397,Georgia,9813201,9919000,9994759,10097343
557,Hawaii,1378251,1392766,1408987,1419561
563,Idaho,1583780,1595590,1612843,1634464
608,Illinois,12858725,12873763,12890552,12880580
711,Indiana,6516560,6537632,6570713,6596855
804,Iowa,3064904,3075935,3092341,3107126
904,Kansas,2869965,2885966,2895801,2904021
1010,Kentucky,4370038,4383465,4399583,4413457
1131,Louisiana,4575972,4604744,4629284,4649676
1196,Maine,1327930,1328592,1328702,1330089
1213,Maryland,5843833,5891819,5938737,5976407
1238,Massachusetts,6612270,6655829,6708874,6745408
1253,Michigan,9875736,9884781,9898193,9909877
1337,Minnesota,5348036,5380615,5422060,5457173
1425,Mississippi,2978464,2986137,2992206,2994079
1508,Missouri,6010544,6025281,6044917,6063589
1624,Montana,997661,1005163,1014864,1023579
1681,Nebraska,1842232,1855487,1868969,1881503
1775,Nevada,2718586,2755245,2791494,2839099
1793,New Hampshire,1318109,1321297,1322616,1326813
1804,New Jersey,8842614,8876000,8911502,8938175
1826,New Mexico,2078407,2084594,2086895,2085572
1860,New York,19521745,19607140,19695680,19746227
1923,North Carolina,9651502,9748181,9848917,9943964
2024,North Dakota,685242,701705,723857,739482
2078,Ohio,11544757,11550901,11572005,11594163
2167,Oklahoma,3786527,3817059,3853118,3878051
2245,Oregon,3867644,3898684,3928068,3970239
2282,Pennsylvania,12743995,12770043,12781296,12787209
2350,Rhode Island,1052020,1052637,1053354,1055173
2356,South Carolina,4673054,4722621,4771929,4832482
2403,South Dakota,824171,834504,845510,853175
2470,Tennessee,6398389,6455177,6497269,6549352
2566,Texas,25657477,26094422,26505637,26956958
2821,Utah,2815324,2855194,2902787,2942902
2851,Vermont,626450,626138,626855,626562
2866,Virginia,8110188,8193422,8270345,8326289
3000,Washington,6822112,6896325,6973742,7061530
3040,West Virginia,1854982,1856313,1853595,1850326
3096,Wisconsin,5708785,5724888,5742953,5757564
3169,Wyoming,567631,576893,583223,584153
